team,player,position,caps,club
Qatar,Yusuf Abdurisag,MF,39,Al-Wakrah
Qatar,Ahmed Al Ganehi,MF,13,Al-Gharafa
Qatar,Tahsin Jamshid,MF,3,Al-Duhail
Qatar,Mohamed Al-Mannai,MF,0,
Qatar,Akram Afif,FW,125,Al-Sadd
Qatar,Almoez Ali,FW,115,Al-Duhail
Qatar,Mohammed Muntari,FW,67,Al-Gharafa
Qatar,Hassan Al Haydos,FW,186,Al-Sadd
Qatar,Ahmed Alaa Eldin,FW,0,
Qatar,Edmílson,FW,0,
Jordan,Yazeed Abu Layla,GK,0,
Jordan,Abdallah Al Fakhouri,GK,11,Al-Wehdat
Jordan,Noureddin Bani Ateyah,GK,0,
Jordan,Ehsan Haddad,DF,0,
Jordan,Saleem Obaid,DF,0,
Jordan,Yazan Al Arab,DF,80,FC Seoul
Jordan,Mohammad Abualnadi,DF,0,
Jordan,Abdallah Naseeb,DF,0,
Jordan,Saed Al Rosan,DF,21,Al-Hussein
Jordan,Husam Abu Dahab,DF,18,Al-Faisaly
Jordan,Anas Badawi,DF,1,Al-Faisaly
Jordan,Nizar Al Rashdan,MF,47,Qatar SC
Jordan,Rajaei Ayed,MF,72,Al-Hussein
Jordan,Noor Al Rawabdeh,MF,68,Selangor
Jordan,Mohammad Abu Hasheesh,MF,0,
Jordan,Ibrahim Saadeh,MF,0,
Jordan,Mohammad Al-Dawoud,MF,13,Al-Wehdat
Jordan,Amer Jamous,MF,19,Al-Zawraa
Jordan,Musa Al Taamari,FW,92,Rennes
Jordan,Mahmoud Al Mardi,FW,89,Al-Hussein
Jordan,Ali Olwan,FW,66,Al-Sailiya
Jordan,Mohannad Abu Taha,FW,29,Al-Quwa Al-Jawiya
Jordan,Mohammad Abu Zrayq,FW,41,Raja Casablanca
Jordan,Ibrahim Sabra,FW,0,
Jordan,Odeh Fakhoury,FW,0,
Jordan,Ali Azaizeh,FW,4,Al-Shabab
Iraq,Jalal Hassan,GK,101,Al-Zawraa
Iraq,Fahad Talib,GK,21,Al-Talaba
Iraq,Ahmed Basil,GK,15,Al-Shorta
Iraq,Hussein Ali,DF,26,Pogoń Szczecin
Iraq,Merchas Doski,DF,31,Viktoria Plzeň
Iraq,Rebin Sulaka,DF,55,Port
Iraq,Mustafa Saadoun,DF,0,
Iraq,Ahmed Yahya,DF,0,
Iraq,Frans Putros,DF,27,Persib
Iraq,Zaid Tahseen,DF,27,Pakhtakor
Iraq,Manaf Younis,DF,33,Al-Shorta
Iraq,Akam Hashem,DF,0,
Iraq,Amir Al Ammari,MF,50,Cracovia
Iraq,Kevin Yakob,MF,8,AGF
Iraq,Aimar Sher,MF,6,Sarpsborg 08
Iraq,Ibrahim Bayesh,MF,75,Al Dhafra
Iraq,Youssef Amyn,MF,26,AEK Larnaca
Iraq,Ahmed Qasem,MF,2,Nashville SC
Iraq,Zidane Iqbal,MF,24,Utrecht
Iraq,Zaid Ismail,MF,6,Al-Talaba
Iraq,Aymen Hussein,FW,94,Al-Karma
Iraq,Ali Al-Hamadi,FW,19,Luton Town
Iraq,Marko Farji,FW,11,Venezia
Iraq,Ali Jassim El-Aibi,FW,0,
Iraq,Mohanad Ali,FW,71,Dibba
Iraq,Ali Yousif,FW,6,Al-Talaba
Uzbekistan,Abduvakhid Nematov,GK,0,
Uzbekistan,Botir Ergashev,GK,0,
Uzbekistan,Utkir Yusupov,GK,40,Navbahor Namangan
Uzbekistan,Rustam Ashurmatov,DF,49,Esteghlal
Uzbekistan,Umar Eshmurodov,DF,29,Nasaf
Uzbekistan,Abdukodir Khusanov,DF,27,Manchester City
Uzbekistan,Jakhongir O'rozov,DF,0,
Uzbekistan,Farrukh Sayfiyev,DF,0,
Uzbekistan,Khodjiakbar Alijonov,DF,0,
Uzbekistan,Sherzod Nasrullayev,DF,0,
Uzbekistan,Abdulla Abdullayev,DF,0,
Uzbekistan,Bekhruz Karimov,DF,2,Surkhon Termiz
Uzbekistan,Avazbek Ulmasaliev,DF,0,AGMK
Uzbekistan,Dostonbek Xamdamov,MF,0,
Uzbekistan,Otabek Shukurov,MF,84,Baniyas
Uzbekistan,Oston Urunov,MF,42,Persepolis
Uzbekistan,Jamshid Iskanderov,MF,38,Neftchi Fergana
Uzbekistan,Akmal Mozgovoy,MF,25,Pakhtakor
Uzbekistan,Abbosbek Fayzullaev,MF,32,İstanbul Başakşehir
Uzbekistan,Azizjon Ganiev,MF,19,Al Bataeh
Uzbekistan,Odiljon Hamrobekov,MF,72,Tractor
Uzbekistan,Sherzod Esanov,MF,1,Bukhara
Uzbekistan,Eldor Shomurodov,FW,92,İstanbul Başakşehir
Uzbekistan,Igor Sergeev,FW,83,Persepolis
Uzbekistan,Ruslanbek Jiyanov,FW,0,
Uzbekistan,Azizbek Amonov,FW,12,Dinamo Samarqand
Netherlands,Mark Flekken,GK,12,Bayer Leverkusen
Netherlands,Bart Verbruggen,GK,29,Brighton & Hove Albion
Netherlands,Robin Roefs,GK,1,Sunderland
Netherlands,Denzel Dumfries,DF,72,Inter Milan
Netherlands,Virgil van Dijk,DF,92,Liverpool
Netherlands,Nathan Aké,DF,59,Manchester City
Netherlands,Jan Paul van Hecke,DF,12,Brighton & Hove Albion
Netherlands,Jurrien Timber,DF,0,
Netherlands,Mickey van de Ven,DF,0,
Netherlands,Jorrel Hato,DF,8,Chelsea
Netherlands,Marten de Roon,MF,43,Atalanta
Netherlands,Donyell Malen,MF,53,Roma
Netherlands,Frenkie de Jong,MF,66,Barcelona
Netherlands,Noa Lang,MF,15,Galatasaray
Netherlands,Guus Til,MF,7,PSV Eindhoven
Netherlands,Teun Koopmeiners,MF,28,Juventus
Netherlands,Tijjani Reijnders,MF,32,Manchester City
Netherlands,Ryan Gravenberch,MF,27,Liverpool
Netherlands,Mats Wieffer,MF,15,Brighton & Hove Albion
Netherlands,Quinten Timber,MF,11,Marseille
Netherlands,Crysencio Summerville,MF,2,West Ham United
Netherlands,Cody Gakpo,FW,50,Liverpool
Netherlands,Justin Kluivert,FW,12,Bournemouth
Netherlands,Wout Weghorst,FW,52,Ajax
Netherlands,Memphis Depay,FW,109,Corinthians
Netherlands,Brian Brobbey,FW,12,Sunderland
Norway,Ørjan Nyland,GK,71,Sevilla
Norway,Egil Selvik,GK,7,Watford
Norway,Sander Tangvik,GK,0,Hamburger SV
Norway,Kristoffer Ajer,DF,52,Brentford
Norway,Torbjørn Heggem,DF,15,Bologna
Norway,Fredrik Bjørkan,DF,0,
Norway,Marcus Pedersen,DF,0,
Norway,Julian Ryerson,DF,43,Borussia Dortmund
Norway,Leo Østigård,DF,38,Genoa
Norway,Henrik Falchener,DF,1,Viking
Norway,Sondre Langås,DF,3,Derby County
Norway,David Wolfe,DF,0,
Norway,Morten Thorsby,MF,31,Cremonese
Norway,Martin Ødegaard,MF,68,Arsenal
Norway,Sander Berge,MF,66,Fulham
Norway,Patrick Berg,MF,43,Bodø/Glimt
Norway,Fredrik Aursnes,MF,22,Benfica
Norway,Kristian Thorstvedt,MF,37,Sassuolo
Norway,Thelo Aasgaard,MF,8,Rangers
Norway,Antonio Nusa,MF,24,RB Leipzig
Norway,Oscar Bobb,MF,20,Fulham
Norway,Alexander Sørloth,FW,72,Atlético Madrid
Norway,Jens Hauge,FW,0,
Norway,Erling Haaland,FW,50,Manchester City
Norway,Andreas Schjelderup,FW,12,Benfica
Norway,Jørgen Strand Larsen,FW,28,Crystal Palace
Scotland,Angus Gunn,GK,22,Nottingham Forest
Scotland,Craig Gordon,GK,84,Heart of Midlothian
Scotland,Liam Kelly,GK,3,Rangers
Scotland,Grant Hanley,DF,68,Hibernian
Scotland,Dominic Hyam,DF,4,Wrexham
Scotland,Andrew Robertson,DF,0,
Scotland,Kieran Tierney,DF,56,Celtic
Scotland,Jack Hendry,DF,38,Al-Ettifaq
Scotland,Anthony Ralston,DF,27,Celtic
Scotland,John Souttar,DF,24,Rangers
Scotland,Scott McKenna,DF,50,Dinamo Zagreb
Scotland,Aaron Hickey,DF,21,Brentford
Scotland,Nathan Patterson,DF,26,Everton
Scotland,Scott McTominay,MF,70,Napoli
Scotland,Kenny McLean,MF,58,Norwich City
Scotland,Ryan Christie,MF,68,Bournemouth
Scotland,Lewis Ferguson,MF,24,Bologna
Scotland,John McGinn,MF,86,Aston Villa
Scotland,Ben Doak,MF,0,
Scotland,Findlay Curtis,MF,3,Kilmarnock
Scotland,Tyler Fletcher,MF,2,Manchester United
Scotland,Che Adams,FW,47,Torino
Scotland,George Hirst,FW,10,Ipswich Town
Scotland,Ross Stewart,FW,3,Southampton
Scotland,Lyndon Dykes,FW,51,Charlton Athletic
Scotland,Lawrence Shankland,FW,20,Heart of Midlothian
Curaçao,Trevor Doornbusch,GK,8,VVV-Venlo
Curaçao,Eloy Room,GK,71,Miami FC
Curaçao,Tyrick Bodak,GK,4,Telstar
Curaçao,Roshon van Eijma,DF,28,RKC Waalwijk
Curaçao,Joshua Brenet,DF,18,Kayserispor
Curaçao,Armando Obispo,DF,6,PSV Eindhoven
Curaçao,Sheral Floranus,DF,0,
Curaçao,Riechedly Bazoer,DF,5,Konyaspor
Curaçao,Juriën Gaari,DF,60,Abha
Curaçao,Shurandy Sambo,DF,8,Sparta Rotterdam
Curaçao,Ar'jany Martha,DF,9,Rotherham United
Curaçao,Livano Comenencia,DF,20,Zürich
Curaçao,Deveron Fonville,DF,2,NEC
Curaçao,Tyrese Noslin,DF,7,Telstar
Curaçao,Leandro Bacuna,MF,72,Iğdır
Curaçao,Godfried Roemeratoe,MF,28,RKC Waalwijk
Curaçao,Juninho Bacuna,MF,49,Volendam
Curaçao,Kevin Felida,MF,19,Den Bosch
Curaçao,Gervane Kastaneer,FW,29,Terengganu
Curaçao,Kenji Gorré,FW,38,Maccabi Haifa
Curaçao,Jürgen Locadia,FW,13,Miami FC
Curaçao,Tahith Chong,FW,6,Sheffield United
Curaçao,Sontje Hansen,FW,6,Middlesbrough
Curaçao,Jearl Margaritha,FW,22,Beveren
Curaçao,Jeremy Antonisse,FW,27,Kifisia
Curaçao,Brandley Kuwas,FW,35,Volendam
