player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
145707,Danilo,Juventus FC,2021-22,DF,30,450,0,1,2022-05-28,2022-06-07,13.0
148252,Remo Freuler,Atalanta BC,2021-22,MF,30,528,1,1,2022-05-28,2022-06-07,20.0
148368,Divock Origi,Liverpool FC,2021-22,FW,27,186,1,1,2022-05-28,2022-06-15,12.0
148455,Mohamed Salah,Liverpool FC,2021-22,FW,29,1009,8,2,2022-05-28,2022-06-15,90.0
148928,Saúl Ñíguez,Chelsea FC,2021-22,MF,27,159,0,0,2022-05-28,2022-06-15,25.0
149729,João Mário (149729),SL Benfica,2021-22,MF,29,493,0,3,2022-05-28,2022-05-31,10.0
153084,Leon Goretzka,Bayern Munich,2021-22,MF,27,468,0,0,2022-05-28,2022-06-09,65.0
155025,Fábio Cardoso,FC Porto,2021-22,DF,28,155,0,0,2022-05-28,2022-05-31,3.0
156501,Felipe,Atlético de Madrid,2021-22,DF,33,472,0,0,2022-05-28,2022-06-03,6.0
156617,Marcelo Brozović,Inter Milan,2021-22,MF,29,635,1,1,2022-05-28,2022-06-07,40.0
157635,Yussuf Poulsen,RB Leipzig,2021-22,FW,27,146,0,1,2022-05-28,2022-06-09,14.0
159471,Serge Gnabry,Bayern Munich,2021-22,FW,26,390,3,1,2022-05-28,2022-06-09,65.0
160668,Antonio Colak,Malmö Fotbollförening,2021-22,FW,28,501,0,0,2022-05-28,2022-06-09,3.0
161056,Joshua Kimmich,Bayern Munich,2021-22,MF,27,702,0,0,2022-05-28,2022-06-09,80.0
162959,Daniele Rugani,Juventus FC,2021-22,DF,27,176,0,0,2022-05-28,2022-06-07,3.5
164770,Raphaël Varane,Manchester United,2021-22,DF,29,353,0,0,2022-05-28,2022-06-15,48.0
164913,Soualiho Meïté,SL Benfica,2021-22,MF,28,155,0,0,2022-05-28,2022-05-31,5.0
165513,Berat Djimsiti,Atalanta BC,2021-22,DF,29,260,0,0,2022-05-28,2022-06-07,17.0
165793,Takumi Minamino,Liverpool FC,2021-22,FW,27,216,0,0,2022-05-28,2022-06-15,12.0
166237,Leandro Paredes,Paris Saint-Germain,2021-22,MF,27,315,0,0,2022-05-28,2022-05-30,17.0
166601,Niklas Süle,Bayern Munich,2021-22,DF,26,514,0,0,2022-05-28,2022-06-09,35.0
167850,Memphis Depay,FC Barcelona,2021-22,FW,28,525,0,0,2022-05-28,2022-06-03,35.0
170527,Timo Werner,Chelsea FC,2021-22,FW,26,245,4,2,2022-05-28,2022-06-15,35.0
170620,Vyacheslav Karavaev,AO FK Zenit Sankt-Peterburg,2021-22,DF,27,300,0,1,2022-05-28,2022-06-02,6.0
170646,Ludwig Augustinsson,Sevilla FC,2021-22,DF,28,80,0,0,2022-05-28,2022-06-03,5.0
