player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Jude Bellingham,Real Madrid,2024-25,MF,21.0,2488,9,8,60,42,41,61,28
Julen Agirrezabala,Athletic Club,2024-25,GK,23.0,1206,0,0,0,0,0,0,0
Jules Koundé,Barcelona,2024-25,DF,25.0,2605,2,3,18,32,22,63,20
Julián Chicco,Leganés,2024-25,MF,26.0,302,0,1,3,2,2,11,4
Julián Álvarez,Atlético Madrid,2024-25,FW,24.0,2509,17,4,70,41,34,25,2
Juma Bah,Valladolid,2024-25,DF,18.0,864,0,0,3,1,3,10,12
Justin Smith,Espanyol,2024-25,MF,21.0,209,0,0,0,1,1,9,4
Karl Etta,Villarreal,2024-25,MF,20.0,37,1,0,2,0,0,0,0
Karl Jakob Hein,Valladolid,2024-25,GK,22.0,2790,0,0,0,0,0,0,0
Kelechi Iheanacho,Sevilla,2024-25,FW,27.0,400,0,0,9,5,2,1,0
Kenedy,Valladolid,2024-25,MF,28.0,9,0,0,1,0,0,0,0
Kike Barja,Osasuna,2024-25,FW,27.0,315,0,1,4,10,7,5,3
Kike Pérez,Valladolid,2024-25,MF,27.0,1191,2,0,20,17,8,37,7
Kike Salas,Sevilla,2024-25,DF,22.0,2238,3,2,23,6,3,47,32
Kiko Femenía,Villarreal,2024-25,DF,33.0,2227,0,1,3,16,17,50,40
Kiké,Alavés,2024-25,FW,34.0,2542,13,0,60,13,13,19,1
Kim Minsu,Girona,2024-25,MF,18.0,22,0,0,0,0,0,1,0
Kirian Rodríguez,Las Palmas,2024-25,MF,28.0,1758,0,3,21,16,11,33,10
Koke,Atlético Madrid,2024-25,MF,32.0,1926,1,1,11,16,9,46,20
Krapyvtsov Vladyslav,Girona,2024-25,GK,19.0,180,0,0,0,0,0,0,0
Kylian Mbappé,Real Madrid,2024-25,FW,25.0,2907,31,3,152,51,83,8,1
Ladislav Krejčí,Girona,2024-25,DF,25.0,2440,2,0,18,8,7,23,34
Lamine Yamal,Barcelona,2024-25,FW,17.0,2856,9,13,144,64,161,42,16
Leandro Antonetti,Sevilla,2024-25,FW,21.0,28,0,0,1,1,0,0,0
Leandro Cabrera,Espanyol,2024-25,DF,33.0,2869,4,2,19,9,1,40,30
Leo Román,Mallorca,2024-25,GK,24.0,630,0,0,0,0,1,0,0
Logan Costa,Villarreal,2024-25,DF,23.0,2587,2,1,12,4,0,38,21
Lorenzo Aguado,Real Madrid,2024-25,DF,21.0,5,0,0,0,0,0,0,0
Loïc Bade,Sevilla,2024-25,DF,24.0,2686,1,1,13,4,17,47,29
Luca de la Torre,Celta Vigo,2024-25,MF,26.0,4,0,0,0,0,0,0,0
Lucas Ocampos,Sevilla,2024-25,FW,30.0,175,0,1,4,3,2,3,0
Lucas Oliveira Rosa,Valladolid,2024-25,DF,24.0,1890,0,1,8,13,14,53,28
Lucas Torró,Osasuna,2024-25,MF,30.0,2957,3,0,31,10,6,74,45
